time_stamp,latitude,longitude,ns_indicator,ew_indicator,gps_satellites,altitude,pressure,temperature,acceleration_x,acceleration_y,acceleration_z,magnetometer_x,magnetometer_y,magnetometer_z,angular_speed_x,angular_speed_y,angular_speed_z,acquisition_board_state_1,acquisition_board_state_2,acquisition_board_state_3,power_supply_state_1,power_supply_state_2,payload_board_state_1
99,0,0,N,E,23,2013.3375258067952,25151.850516239985,41.55346392061847,0,0,0,0,0,0,0.4689085808996991,150.67289307640394,-154.74583162160695,0,0,0,0,0,0
189,0,0,S,W,16,2031.4078972296327,25286.383678268496,42.54443985846323,0,0,0,0,0,0,2.503541354469265,150.98147919117605,-150.7361062221044,0,1,1,1,1,1
292,0,0,N,E,16,2050.6024632463805,25374.212181286217,41.40537213744338,0,0,0,0,0,0,5.357209797687901,146.5041132221152,-152.19172164557517,1,0,0,1,0,1
377,0,0,S,W,15,2062.998144707366,25492.656074557068,42.34041079102298,0,0,0,0,0,0,5.292343211693736,150.88810591870882,-153.38793862584058,1,0,0,1,0,0
506,0,0,S,W,15,2082.616970970441,25601.870572557087,42.29979050971071,0,0,0,0,0,0,6.741954547246232,144.20244128526159,-156.14915866454533,0,1,0,1,0,0
597,0,0,S,W,15,2097.6101698075677,25711.73166880795,41.57945068039075,0,0,0,0,0,0,7.143204132429091,148.14060373518205,-153.82948743112337,0,0,1,1,1,0
675,0,0,S,W,15,2111.568517731011,25834.457128026796,42.49801253862985,0,0,0,0,0,0,9.46617942124784,145.8836633512914,-157.52214935952432,1,1,0,0,1,1
753,0,0,N,E,16,2130.175727906516,25949.530619890116,42.43777683181552,0,0,0,0,0,0,11.919432938443514,146.6354402537018,-155.3378554677049,0,0,0,0,0,0
845,0,0,S,E,16,2146.910417478052,26059.086085798685,41.49836971400977,0,0,0,0,0,0,15.563823920043125,141.23585873657052,-155.86380678112644,1,1,0,1,1,0
956,0,0,S,W,22,2162.9183017466435,26152.534470352013,42.56470245627881,0,0,0,0,0,0,13.318213768538243,143.54536002862636,-158.69300654678887,1,0,1,0,0,0
1079,0,0,N,W,23,2179.6974391106614,26259.43057575325,42.25454353354492,0,0,0,0,0,0,18.089525597422742,142.98401810842728,-160.12808954708638,0,0,1,1,1,0
1192,0,0,N,W,24,2196.474940561872,26385.021013072947,41.889161655501326,0,0,0,0,0,0,21.445447005293246,142.9756637109097,-162.01202668489637,0,1,1,1,1,1
1288,0,0,N,E,17,2210.7778641488767,26481.814179099383,41.80877631171677,0,0,0,0,0,0,22.47190519496635,138.13939605631694,-159.3297333254063,0,0,1,1,0,1
